# Plataforma: Boya CIDMAR-2
# Tipo: Boya Oceanográfica
# Periodo: 2025-05-01 / 2025-05-31
# Generado: 2026-05-07 14:50:50 UTC
# Timestamps: 1194  Variables: 7
# Separador: TAB  |  Valor ausente: NaN
timestamp	Altura de Olas[m]	Batería[V]	Radiación PAR[µmol/m2/s]	Dirección de la corriente[°]	Velocidad de la corriente[m/s]	Dirección de Olas[°]	Periodo de Olas[s]
2025-05-04 08:40:00	0.45	NaN	NaN	NaN	NaN	NaN	NaN
2025-05-04 08:50:00	0.42	NaN	NaN	NaN	NaN	NaN	NaN
2025-05-04 09:00:00	0.62	NaN	NaN	NaN	NaN	NaN	NaN
2025-05-04 09:10:00	0.5	NaN	NaN	NaN	NaN	NaN	NaN
2025-05-04 09:20:00	0.41	NaN	NaN	NaN	NaN	NaN	NaN
2025-05-04 09:30:00	0.38	NaN	NaN	NaN	NaN	NaN	NaN
2025-05-04 09:40:00	0.54	NaN	NaN	NaN	NaN	NaN	NaN
2025-05-04 09:50:00	0.56	NaN	NaN	NaN	NaN	NaN	NaN
2025-05-04 10:00:00	0.54	NaN	NaN	NaN	NaN	NaN	NaN
2025-05-04 10:10:00	0.6	NaN	NaN	NaN	NaN	NaN	NaN
2025-05-04 10:20:00	0.39	NaN	NaN	NaN	NaN	NaN	NaN
2025-05-04 10:30:00	0.41	NaN	NaN	NaN	NaN	NaN	NaN
2025-05-04 10:40:00	0.48	NaN	NaN	NaN	NaN	NaN	NaN
2025-05-04 10:50:00	0.48	NaN	NaN	NaN	NaN	NaN	NaN
2025-05-04 11:00:00	0.65	NaN	NaN	NaN	NaN	NaN	NaN
2025-05-04 11:10:00	0.44	NaN	NaN	NaN	NaN	NaN	NaN
2025-05-04 11:20:00	0.5	NaN	NaN	NaN	NaN	NaN	NaN
2025-05-04 11:30:00	0.44	NaN	NaN	NaN	NaN	NaN	NaN
2025-05-04 11:40:00	0.38	NaN	NaN	NaN	NaN	NaN	NaN
2025-05-04 11:50:00	0.63	NaN	NaN	NaN	NaN	NaN	NaN
2025-05-04 12:00:00	0.42	NaN	NaN	NaN	NaN	NaN	NaN
2025-05-04 12:10:00	0.5	NaN	NaN	NaN	NaN	NaN	NaN
2025-05-04 12:20:00	0.51	NaN	NaN	NaN	NaN	NaN	NaN
2025-05-04 12:30:00	0.62	NaN	NaN	NaN	NaN	NaN	NaN
2025-05-04 12:40:00	0.45	NaN	NaN	NaN	NaN	NaN	NaN
2025-05-04 12:50:00	0.48	NaN	NaN	NaN	NaN	NaN	NaN
2025-05-04 13:00:00	0.54	NaN	NaN	NaN	NaN	NaN	NaN
2025-05-04 13:10:00	0.48	NaN	NaN	NaN	NaN	NaN	NaN
2025-05-04 13:20:00	0.35	NaN	NaN	NaN	NaN	NaN	NaN
2025-05-04 13:30:00	0.41	NaN	NaN	NaN	NaN	NaN	NaN
2025-05-04 13:40:00	0.48	NaN	NaN	NaN	NaN	NaN	NaN
2025-05-04 13:50:00	0.51	NaN	NaN	NaN	NaN	NaN	NaN
2025-05-04 14:00:00	0.36	NaN	NaN	NaN	NaN	NaN	NaN
2025-05-04 14:10:00	0.45	NaN	NaN	NaN	NaN	NaN	NaN
2025-05-04 14:20:00	0.41	NaN	NaN	NaN	NaN	NaN	NaN
2025-05-04 14:30:00	0.57	NaN	NaN	NaN	NaN	NaN	NaN
2025-05-04 14:40:00	0.45	NaN	NaN	NaN	NaN	NaN	NaN
2025-05-04 14:50:00	0.33	NaN	NaN	NaN	NaN	NaN	NaN
2025-05-04 15:00:00	0.29	NaN	NaN	NaN	NaN	NaN	NaN
2025-05-04 15:10:00	0.23	NaN	NaN	NaN	NaN	NaN	NaN
2025-05-04 15:20:00	0.41	NaN	NaN	NaN	NaN	NaN	NaN
2025-05-04 15:30:00	0.35	NaN	NaN	NaN	NaN	NaN	NaN
2025-05-04 15:40:00	0.6	NaN	NaN	NaN	NaN	NaN	NaN
2025-05-04 15:50:00	0.24	NaN	NaN	NaN	NaN	NaN	NaN
2025-05-04 16:00:00	0.32	NaN	NaN	NaN	NaN	NaN	NaN
2025-05-04 16:10:00	0.29	NaN	NaN	NaN	NaN	NaN	NaN
2025-05-04 16:20:00	0.44	NaN	NaN	NaN	NaN	NaN	NaN
2025-05-04 16:30:00	0.3	NaN	NaN	NaN	NaN	NaN	NaN
2025-05-04 16:40:00	0.27	NaN	NaN	NaN	NaN	NaN	NaN
2025-05-04 16:50:00	0.27	NaN	NaN	NaN	NaN	NaN	NaN
2025-05-04 17:00:00	0.35	NaN	NaN	NaN	NaN	NaN	NaN
2025-05-04 17:10:00	0.24	NaN	NaN	NaN	NaN	NaN	NaN
2025-05-04 17:20:00	0.39	NaN	NaN	NaN	NaN	NaN	NaN
2025-05-04 17:30:00	0.29	NaN	NaN	NaN	NaN	NaN	NaN
2025-05-04 17:40:00	0.33	NaN	NaN	NaN	NaN	NaN	NaN
2025-05-04 17:50:00	0.42	NaN	NaN	NaN	NaN	NaN	NaN
2025-05-04 18:00:00	0.29	NaN	NaN	NaN	NaN	NaN	NaN
2025-05-04 18:10:00	0.32	NaN	NaN	NaN	NaN	NaN	NaN
